combo_index,ATE_true,SE_true,CI_low_true,CI_high_true,t_vec
0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
1,-0.20787290471050757,0.0025747593796638588,-0.21291943309464872,-0.2028263763263664,"[0.0, 0.0, 0.0, 1.0]"
2,0.02130643305775613,0.0026152635183983746,0.016180516561695314,0.026432349553816945,"[0.0, 0.0, 1.0, 0.0]"
3,-0.18626062652254333,0.0038936758627867193,-0.1938922312136053,-0.17862902183148135,"[0.0, 0.0, 1.0, 1.0]"
4,0.6487661564562304,0.004906628348534561,0.6391491648931026,0.6583831480193582,"[0.0, 1.0, 0.0, 0.0]"
5,0.44317877231804814,0.006045821487175271,0.4313289622031846,0.45502858243291167,"[0.0, 1.0, 0.0, 1.0]"
6,0.6675395083878969,0.00567976633216521,0.656407166376853,0.6786718503989407,"[0.0, 1.0, 1.0, 0.0]"
7,0.4621403985969381,0.006809394049057646,0.44879398626078515,0.4754868109330911,"[0.0, 1.0, 1.0, 1.0]"
8,1.1656145807138292,0.008766446429840079,1.1484323457113426,1.1827968157163158,"[1.0, 0.0, 0.0, 0.0]"
9,0.9684317083008976,0.009441387297178748,0.9499265891984273,0.986936827403368,"[1.0, 0.0, 0.0, 1.0]"
10,1.1809836115671841,0.009244592127882624,1.1628642109965341,1.199103012137834,"[1.0, 0.0, 1.0, 0.0]"
11,0.9838831001499044,0.00996668145098827,0.9643484045059674,1.0034177957938415,"[1.0, 0.0, 1.0, 1.0]"
12,1.6784619515596158,0.010361569159912463,1.6581532760061872,1.6987706271130443,"[1.0, 1.0, 0.0, 0.0]"
13,1.4861081740737023,0.01115455407557623,1.464245248085573,1.5079711000618317,"[1.0, 1.0, 0.0, 1.0]"
14,1.690584012796358,0.010782173505326282,1.6694509527259185,1.7117170728667976,"[1.0, 1.0, 1.0, 0.0]"
15,1.498201212436842,0.011610791618050804,1.4754440608654624,1.5209583640082216,"[1.0, 1.0, 1.0, 1.0]"
