0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.16774222,0.7688139,0.92817056,0.6094937,0.1501835,0.4896267,0.37734497,0.8486014,0.9110972,0.38384873,0.0,1.0,0.0,0.0,8.625787
0.3154959,0.5683941,0.18781804,0.12584154,0.6875958,0.79960674,0.5735366,0.97323,0.63405436,0.8884217,0.0,0.0,1.0,0.0,9.316954
0.49541476,0.35161653,0.71423036,0.50392914,0.2256376,0.24497443,0.7928007,0.4951724,0.91509366,0.9453718,1.0,1.0,0.0,0.0,10.862928
0.5332322,0.2524926,0.72086203,0.36743876,0.49864843,0.22657505,0.35356563,0.6508518,0.3129329,0.76873547,0.0,0.0,0.0,0.0,7.8292427
0.7818371,0.8524095,0.94990575,0.10732291,0.91072536,0.33605516,0.82638043,0.8981006,0.042715304,0.195795,0.0,1.0,0.0,0.0,9.951228
0.29450133,0.62699986,0.0862231,0.14294502,0.5158265,0.6893413,0.8566258,0.6473617,0.58161867,0.71111596,0.0,1.0,0.0,0.0,10.932751
0.25241685,0.90015966,0.4422937,0.020520825,0.959661,0.65222543,0.51320624,0.68235636,0.4895404,0.9264902,1.0,0.0,0.0,0.0,11.718389
0.51587975,0.07215988,0.5675083,0.6152432,0.9415463,0.41536334,0.26443997,0.09739316,0.48584422,0.46466285,0.0,0.0,0.0,0.0,7.7550936
0.029759318,0.69427747,0.71694714,0.72981143,0.41435102,0.015098845,0.9089752,0.7893787,0.16519918,0.31278595,0.0,0.0,0.0,1.0,7.5093603
0.6109453,0.3644903,0.15603858,0.17730382,0.86788964,0.29009467,0.5851796,0.45399487,0.41117814,0.88263446,0.0,0.0,0.0,0.0,9.336508
0.692708,0.27927336,0.06444023,0.19862361,0.93168277,0.85441357,0.95473474,0.052253347,0.5794717,0.48049626,0.0,0.0,0.0,1.0,10.864601
0.021708978,0.37362045,0.4140918,0.6039072,0.6717487,0.8388657,0.77952623,0.40070105,0.79452926,0.8931243,0.0,0.0,0.0,0.0,8.150982
0.26248968,0.989197,0.8533071,0.73147714,0.35556564,0.8832895,0.8679591,0.95576644,0.00010725652,0.016541041,1.0,1.0,0.0,0.0,10.5675
0.31407005,0.99531615,0.14884423,0.16737711,0.75857204,0.06952967,0.7054734,0.4691653,0.010188216,0.77482384,0.0,0.0,0.0,1.0,7.6261315
0.794201,0.14956945,0.023703631,0.76206374,0.22367018,0.2621744,0.4568695,0.24992692,0.56828356,0.846943,1.0,0.0,0.0,0.0,9.636674
0.37809953,0.4324651,0.8326192,0.37113193,0.04055327,0.55467147,0.45124623,0.72530097,0.3784505,0.8406625,0.0,0.0,0.0,0.0,7.8016124
0.4693147,0.5626434,0.66119933,0.46224186,0.62363696,0.22188063,0.7328631,0.3816821,0.19483455,0.27116278,0.0,0.0,0.0,1.0,7.7671585
0.24922505,0.15213907,0.7713737,0.25541174,0.1275434,0.66516715,0.41280496,0.66776776,0.6598135,0.30537766,0.0,0.0,1.0,0.0,7.795366
0.20122424,0.22202712,0.119970866,0.03714544,0.034131583,0.23049654,0.22835371,0.6249106,0.8925612,0.779728,0.0,0.0,0.0,0.0,8.2963915
0.7214513,0.31044215,0.36308342,0.19608179,0.9354918,0.561734,0.81729156,0.34891397,0.79971427,0.10410446,1.0,1.0,0.0,0.0,12.843109
0.7121202,0.9174485,0.80358535,0.32711315,0.25510716,0.49500218,0.41361097,0.4249371,0.074378304,0.60339063,1.0,1.0,0.0,0.0,8.589641
0.7471997,0.79757625,0.3815005,0.7971582,0.47179738,0.7213992,0.1892127,0.4345957,0.8234681,0.8262726,0.0,1.0,0.0,0.0,8.191819
0.18952549,0.02010217,0.7034914,0.34727013,0.4195038,0.7680889,0.96287805,0.8925653,0.13494226,0.7978047,0.0,0.0,1.0,0.0,8.439638
0.6820906,0.5300529,0.86598164,0.7532481,0.09320258,0.32943943,0.4123627,0.00096460775,0.59756356,0.6825615,0.0,0.0,1.0,0.0,7.7351265
0.36628076,0.39649886,0.47535914,0.5810799,0.13713713,0.99941415,0.5073272,0.4930667,0.18687476,0.296088,1.0,0.0,0.0,0.0,8.001342
0.7985151,0.2947783,0.6971216,0.27295923,0.91252846,0.29853922,0.8898598,0.94672227,0.16891283,0.3592914,1.0,0.0,0.0,0.0,9.685671
0.6821773,0.92139196,0.14492434,0.099874385,0.41160277,0.9751254,0.04150654,0.1869143,0.608768,0.08721872,1.0,0.0,0.0,0.0,10.866504
0.31628814,0.6101358,0.20119472,0.6918977,0.24462697,0.6803717,0.4859377,0.2604948,0.28274032,0.9054516,0.0,0.0,1.0,0.0,7.730569
0.2758427,0.841148,0.19642438,0.33058342,0.9466299,0.50607187,0.40341586,0.027061539,0.62177366,0.3473485,1.0,1.0,0.0,0.0,9.097443
0.27679923,0.06405477,0.33439052,0.067709945,0.0038242482,0.040967803,0.34895486,0.09195431,0.5203157,0.21574982,0.0,0.0,0.0,0.0,7.8226414
0.99166656,0.26718715,0.68016803,0.52624613,0.43992308,0.66155523,0.13478518,0.787849,0.1379777,0.6329233,0.0,1.0,0.0,0.0,8.037208
0.21366535,0.023375316,0.626934,0.64216375,0.6421033,0.8646209,0.33720142,0.41095838,0.61031866,0.94084316,1.0,1.0,0.0,0.0,7.8630447
0.15207727,0.18405801,0.15443829,0.71282434,0.92798316,0.42268717,0.5451773,0.32238898,0.16070469,0.703152,1.0,1.0,0.0,0.0,7.8504324
0.7302484,0.9604045,0.37049058,0.7166984,0.9860612,0.11076756,0.75822854,0.15755412,0.8164353,0.55410653,0.0,1.0,0.0,0.0,9.130596
0.5817102,0.9361456,0.43434775,0.4891272,0.6661305,0.630154,0.13020475,0.35384396,0.6351234,0.91895586,0.0,0.0,0.0,0.0,7.7927494
0.09126672,0.07108212,0.41371164,0.21564117,0.5196986,0.558514,0.47370017,0.21587212,0.23943889,0.21673825,1.0,1.0,0.0,0.0,7.8738723
0.6556904,0.84639347,0.9304644,0.80030555,0.6807259,0.20725696,0.7416597,0.6969046,0.38175946,0.8501191,1.0,1.0,0.0,0.0,8.652228
0.52811116,0.89300907,0.8205594,0.22857861,0.820624,0.13856143,0.4824675,0.14881055,0.44829404,0.6659565,0.0,0.0,0.0,1.0,7.709758
0.7890324,0.66202074,0.71151245,0.88792366,0.1416753,0.14757012,0.32593083,0.03187383,0.6877629,0.76473004,0.0,1.0,0.0,0.0,7.6959248
0.3500094,0.6160076,0.95849985,0.2910526,0.68667847,0.04222823,0.06250363,0.8143987,0.43661836,0.39206845,1.0,0.0,0.0,0.0,7.7147846
0.33064768,0.45765883,0.8353521,0.4667689,0.421286,0.57085156,0.73905593,0.05508341,0.6241807,0.6210603,0.0,1.0,0.0,0.0,8.283065
0.0011105319,0.60289353,0.04018541,0.58575034,0.44837943,0.35373026,0.9335252,0.26725593,0.28129938,0.50490594,0.0,0.0,0.0,0.0,7.8584585
0.6468061,0.9705734,0.03587548,0.42319986,0.5883121,0.73170227,0.17551108,0.51053876,0.5002846,0.8927676,0.0,0.0,1.0,0.0,8.130135
0.3826827,0.66286385,0.04681156,0.75122327,0.3687853,0.9480286,0.34722522,0.6838932,0.8246349,0.486253,0.0,0.0,0.0,0.0,8.087899
0.98417586,0.60381407,0.75962484,0.68451667,0.9324162,0.9497855,0.9901111,0.12615538,0.97660065,0.22910565,1.0,0.0,0.0,0.0,10.668297
0.18605642,0.5092114,0.53049767,0.28263924,0.31016153,0.30988437,0.2663889,0.5934312,0.21713437,0.4023829,1.0,0.0,0.0,0.0,7.9013805
0.28856122,0.17384082,0.22571352,0.98864144,0.43405136,0.82818925,0.5725128,0.6519003,0.7297382,0.39128366,0.0,0.0,1.0,0.0,7.9313135
0.39286247,0.85955125,0.8100196,0.83654386,0.18798792,0.35959676,0.481984,0.9660726,0.5633132,0.8275049,0.0,0.0,1.0,0.0,7.640457
0.07610761,0.55313796,0.54794043,0.9054436,0.3694887,0.9011626,0.14063102,0.099173725,0.9731833,0.94204503,0.0,1.0,0.0,0.0,7.656035
0.590947,0.051957864,0.0501517,0.3246022,0.37574977,0.7641493,0.85926586,0.5457083,0.32385498,0.40581486,1.0,0.0,0.0,0.0,11.442847
0.10966777,0.13729131,0.745389,0.87641555,0.25898933,0.68560165,0.3591115,0.0060171257,0.7611809,0.4140224,1.0,0.0,0.0,0.0,7.6879992
0.333892,0.2780431,0.59251416,0.32510063,0.93680537,0.095982976,0.8832958,0.5680177,0.061923474,0.8749887,0.0,0.0,0.0,1.0,7.90175
0.22485277,0.7993833,0.801875,0.028954519,0.627099,0.60463923,0.07820752,0.77295357,0.14331663,0.46368462,0.0,0.0,0.0,0.0,7.6626463
0.097110674,0.5698542,0.40376696,0.5865787,0.7487064,0.8896138,0.37939015,0.29243627,0.5092902,0.5328136,0.0,1.0,0.0,0.0,7.968972
0.10542162,0.045941003,0.6219931,0.8224449,0.055063568,0.79797345,0.24424492,0.8035377,0.29817507,0.46727097,1.0,1.0,0.0,0.0,7.7553496
0.93281966,0.9097568,0.12992772,0.5294977,0.6191658,0.6246152,0.64680886,0.33207646,0.11422234,0.57110447,0.0,1.0,0.0,0.0,9.165186
0.3019915,0.1935056,0.56470567,0.61048263,0.04532978,0.98537564,0.103727035,0.40589735,0.6655591,0.19701205,1.0,1.0,0.0,0.0,8.07137
0.24178046,0.62317246,0.79873836,0.54463637,0.19758737,0.78412175,0.8143338,0.71088904,0.94404274,0.85494757,0.0,0.0,0.0,1.0,8.069678
0.9635763,0.4646392,0.48499525,0.58646876,0.9419889,0.37228325,0.5982422,0.6136123,0.56006414,0.118517846,0.0,0.0,1.0,0.0,8.395436
0.40291205,0.22149886,0.7882787,0.76398766,0.17437801,0.72385377,0.92456216,0.47593495,0.9129389,0.43742198,0.0,0.0,1.0,0.0,8.240035
0.065860525,0.36370566,0.18944888,0.1483326,0.21108063,0.8795596,0.8177461,0.63156366,0.9552825,0.119050294,0.0,1.0,0.0,0.0,12.119804
